"Project name","Advetní cesta"
"Date range","11/26/2022 - 12/26/2022"


"Metric","Pages per session"
"","Average","1.0060279187817258"

"Metric","Sessions"
"","Total sessions","3152"

"Metric","Scroll depth"
"","Average","76"

"Metric","Quick backs"
"","No. of sessions","0"
"","Page views","0"
"","","% of sessions"
"","With","0"
"","Without","100"

"Metric","Browsers","% of sessions","No. of sessions"
"","ChromeMobile","52.24307986000636","1642"
"","MobileSafari","17.24467069678651","542"
"","Chrome","12.631244034362075","397"
"","SamsungInternet","4.549793191218581","143"
"","Edge","3.4998409163219857","110"
"","Unknown","2.89532293986637","91"
"","Opera","2.1953547566019727","69"
"","MiuiBrowser","1.845370664969774","58"
"","Firefox","1.813553929366847","57"
"","Safari","1.0817690104995228","34"

"Metric","Operating systems","% of sessions","No. of sessions"
"","Android","59.73984771573604","1883"
"","iOS","19.06725888324873","601"
"","Windows","17.576142131979697","554"
"","MacOS","1.9352791878172588","61"
"","Linux","1.6497461928934012","52"
"","Unknown","0.031725888324873094","1"

"Metric","Dead clicks"
"","No. of sessions","208"
"","Page views","208"
"","","% of sessions"
"","With","6.598984771573605"
"","Without","93.4010152284264"

"Metric","Popular pages","No. of sessions"
"","https://adventnicesta.cz/","1559"
"","https://adventnicesta.cz/den/2022-12-01","152"
"","https://adventnicesta.cz/autori","142"
"","https://adventnicesta.cz/den/2022-11-30","66"
"","https://adventnicesta.cz/den/2022-12-04","66"

"Metric","Devices","% of sessions","No. of sessions"
"","Mobile","77.91878172588832","2456"
"","PC","21.161167512690355","667"
"","Tablet","0.8883248730964468","28"
"","Other","0.031725888324873094","1"

"Metric","Rage clicks"
"","No. of sessions","0"
"","Page views","0"
"","","% of sessions"
"","With","0"
"","Without","100"

"Metric","Referrers","No. of sessions"
"","www.bihk.cz","463"
"","adventnicesta.cz","343"
"","www.google.com","48"
"","lm.facebook.com","39"
"","l.facebook.com","32"

"Metric","Excessive scrolling"
"","No. of sessions","0"
"","Page views","0"
"","","% of sessions"
"","With","0"
"","Without","100"

"Metric","JavaScript errors"
"","No. of sessions","387"
"","Page views","388"
"","","% of sessions"
"","With","12.277918781725889"
"","Without","87.72208121827411"
"","minified react error #418; visit https://reactjs.org/docs/error-decoder.html?invariant=418 for the f","40.026333113890715"
"","minified react error #425; visit https://reactjs.org/docs/error-decoder.html?invariant=425 for the f","33.7063857801185"
"","minified react error #423; visit https://reactjs.org/docs/error-decoder.html?invariant=423 for the f","24.950625411454904"
"","script error.","1.316655694535879"

"Metric","Countries","No. of sessions"
"","Czech Republic","3004"
"","Slovakia","91"
"","United States","34"
"","France","6"
"","Ukraine","3"

"Metric","Time spent"
"","Active time","42"
"","Total time","100"

"Metric","Users"
"","Live users","0"
"","Distinct users","3152"
