Datum,Prokliky,Zobrazení,CTR,Pozice
2023-01-02,0,7,0%,10.57
2023-01-01,0,2,0%,15.5
2022-12-31,0,1,0%,33
2022-12-30,0,3,0%,17.67
2022-12-29,0,2,0%,20
2022-12-28,0,0,0%,0
2022-12-27,1,5,20%,15.4
2022-12-26,0,3,0%,16.33
2022-12-25,0,6,0%,10.67
2022-12-24,0,3,0%,10.67
2022-12-23,0,8,0%,15.38
2022-12-22,0,2,0%,8.5
2022-12-21,0,3,0%,19.67
2022-12-20,1,3,33.33%,12
2022-12-19,1,6,16.67%,21
2022-12-18,0,4,0%,28.5
2022-12-17,0,3,0%,14.33
2022-12-16,1,4,25%,19.75
2022-12-15,0,3,0%,9.33
2022-12-14,1,4,25%,31
2022-12-13,0,1,0%,19
2022-12-12,0,3,0%,12
2022-12-11,2,6,33.33%,7
2022-12-10,3,4,75%,17.5
2022-12-09,0,3,0%,15
2022-12-08,0,0,0%,0
2022-12-07,0,0,0%,0
2022-12-06,0,1,0%,26
2022-12-05,2,2,100%,1.5
2022-12-04,0,1,0%,10
2022-12-03,0,2,0%,27
2022-12-02,2,5,40%,20
2022-12-01,0,1,0%,4
2022-11-30,0,0,0%,0
2022-11-29,2,2,100%,1.5
2022-11-28,1,1,100%,2
2022-11-27,0,0,0%,0
2022-11-26,0,0,0%,0
